Horas_Jogadas,Avaliacao_Usuarios,Jogadores_Online,Popularidade,Genero_Jogo,Preco_Jogo,Avaliacao_Critica,Vendas_Totais
86.42,6.3,4669,50.07,Estratégia,56.46,8.31,34540.0
62.69,6.01,18662,65.75,Aventura,81.67,6.28,29364.0
33.75,6.9,7555,4.92,Simulação,38.51,7.28,47273.0
7.29,5.47,17928,68.32,Simulação,12.36,6.64,60199.0
31.78,1.29,5810,12.9,Ação,74.63,5.54,26598.0
33.18,6.51,29614,30.74,Aventura,91.19,7.48,74970.0
73.21,7.45,41501,40.03,Aventura,93.5,7.67,98479.0
64.1,4.75,29017,74.35,Aventura,81.9,5.52,35941.0
88.81,7.82,34353,3.46,Simulação,94.15,8.22,68714.0
47.74,3.04,10140,47.05,Simulação,83.85,8.82,95956.0
12.84,2.99,41465,53.81,Simulação,12.72,5.66,109478.0
71.59,2.45,37243,27.35,RPG,41.47,8.97,96716.0
76.29,4.35,2200,25.23,RPG,40.25,6.97,27246.0
56.55,8.62,28449,41.47,Simulação,29.73,6.86,181562.0
77.3,8.45,37765,16.83,Estratégia,81.81,9.39,153909.0
49.87,4.45,13115,39.65,RPG,56.81,8.18,58502.0
52.73,6.3,29751,63.76,RPG,85.26,6.05,43124.0
43.31,7.49,38305,70.29,RPG,64.12,6.22,80714.0
3.52,3.17,39641,32.92,RPG,63.15,7.44,195354.0
11.68,2.51,20689,51.76,Ação,44.58,7.42,153249.0
4.11,9.75,3449,1.64,RPG,81.06,6.9,42274.0
63.99,6.56,10410,46.33,Estratégia,71.47,5.93,59131.0
32.11,9.83,40614,80.83,Ação,,6.16,31390.0
51.33,4.04,18676,27.0,RPG,99.41,6.93,156713.0
90.82,7.33,13415,49.94,Aventura,51.65,4.65,168045.0
25.67,3.0,48939,63.54,Ação,38.5,7.69,194120.0
41.62,3.35,8551,51.09,RPG,71.9,7.34,175029.0
75.78,5.61,24073,35.62,Estratégia,30.06,5.59,110341.0
23.64,3.88,9695,14.03,Simulação,84.75,7.67,130895.0
8.62,2.51,44833,39.29,RPG,71.23,4.46,36534.0
29.68,3.37,17772,25.58,Aventura,88.3,7.5,70141.0
16.96,1.32,42373,58.15,Estratégia,39.62,8.27,167675.0
93.01,7.34,3008,37.52,Ação,86.89,7.54,135066.0
80.98,5.43,6215,70.65,Estratégia,55.08,7.84,137215.0
63.69,1.85,37638,17.34,RPG,15.33,7.93,16967.0
87.25,2.55,10532,35.56,Aventura,27.48,7.54,65.0
80.54,1.92,48130,46.91,Estratégia,29.59,6.88,81484.0
19.46,6.51,7639,11.87,Estratégia,79.11,6.49,11920.0
89.34,1.85,5966,49.38,Simulação,28.29,8.63,192515.0
54.38,7.79,35072,25.26,Simulação,60.57,7.85,197356.0
80.91,1.18,8751,20.28,RPG,68.73,8.69,61470.0
89.69,3.24,1848,13.16,Ação,79.64,8.41,172664.0
32.47,9.02,14392,30.05,Ação,80.54,5.25,117249.0
11.89,7.47,14737,77.07,Aventura,74.58,5.99,60631.0
23.56,1.66,24907,4.16,RPG,29.19,4.27,50093.0
43.27,8.39,15878,70.84,Ação,58.91,4.69,146827.0
81.96,5.44,14969,33.91,Estratégia,,4.32,188950.0
86.19,8.62,19264,47.24,RPG,79.75,3.66,113970.0
1.69,6.41,37875,43.28,Estratégia,77.32,6.61,146888.0
51.55,7.14,21016,76.81,Aventura,30.67,8.68,74804.0
42.31,9.94,25056,64.17,RPG,67.72,7.48,83378.0
22.98,3.09,30957,81.61,Aventura,15.27,7.98,63691.0
12.86,6.62,24053,66.15,Simulação,79.16,7.04,-5036.0
34.41,5.14,29387,25.67,Aventura,80.21,7.17,41100.0
94.32,1.36,36589,79.83,Simulação,41.23,8.09,79101.0
32.99,1.13,28485,81.51,RPG,82.56,6.72,1764.0
52.34,2.07,28655,11.64,Estratégia,87.24,7.14,125003.0
70.58,6.84,41847,74.8,Estratégia,27.11,6.37,198036.0
36.99,6.1,45792,55.57,Estratégia,41.58,5.18,-4454.0
97.18,5.98,43020,76.51,Aventura,33.5,6.77,178749.0
96.25,1.29,31896,76.0,RPG,43.69,5.24,4829.0
25.92,5.22,30844,74.02,RPG,50.22,8.25,175459.0
50.21,9.32,20650,73.52,Simulação,55.9,7.67,53424.0
30.78,4.58,32758,11.19,RPG,13.17,9.14,-5179.0
29.19,6.62,23409,13.29,Estratégia,14.97,5.82,139577.0
4.65,8.02,45563,11.2,RPG,68.97,4.96,19981.0
61.33,8.06,18060,9.03,Simulação,49.85,4.73,85565.0
50.75,5.67,11072,30.33,RPG,18.08,9.26,36740.0
6.09,8.72,40027,57.18,RPG,44.76,6.38,110808.0
28.58,4.52,34781,30.44,Estratégia,52.8,4.77,51923.0
90.89,9.0,17618,60.13,RPG,67.2,7.65,2053.0
24.71,3.16,31375,68.25,Aventura,20.66,6.47,62839.0
15.34,3.52,35943,55.74,Simulação,99.52,5.58,143497.0
49.44,1.48,37154,39.41,Simulação,52.72,9.13,35749.0
98.55,8.16,1799,25.64,Simulação,71.27,6.75,98139.0
24.96,4.75,40891,11.74,RPG,91.73,7.79,54065.0
67.52,3.06,14596,41.72,Aventura,,7.59,63205.0
76.38,3.09,48756,60.07,Simulação,64.12,10.0,549.0
24.52,9.11,8692,46.16,Ação,58.63,6.67,123039.0
73.07,8.51,13671,60.22,Estratégia,15.18,5.5,130070.0
37.4,5.98,19975,28.86,Ação,72.37,5.97,173620.0
63.58,6.54,22087,7.06,Ação,29.88,8.41,60304.0
63.7,5.27,29789,64.25,Simulação,73.17,7.33,727.0
54.03,4.52,26086,19.48,Ação,42.64,6.27,86315.0
9.94,9.24,25053,51.68,Ação,79.31,7.46,112289.0
83.67,2.13,12556,66.95,Aventura,94.75,8.9,147594.0
32.75,4.77,38641,12.94,Estratégia,87.44,9.38,131018.0
19.46,4.1,14356,50.24,RPG,53.43,7.5,131546.0
5.04,5.48,6291,57.62,Simulação,30.28,8.62,114480.0
59.48,5.12,25746,62.26,Simulação,99.31,4.88,113032.0
68.06,5.67,18947,13.63,Ação,,7.87,186159.0
2.64,2.26,25245,68.64,RPG,45.64,6.7,47057.0
51.68,5.62,49601,9.28,RPG,53.34,5.28,27278.0
23.42,3.18,40056,43.83,RPG,21.53,5.6,100096.0
64.85,2.66,25229,37.65,Simulação,55.48,5.77,134567.0
18.26,1.58,28750,19.65,Simulação,25.59,7.39,64888.0
69.38,7.86,17960,26.16,Aventura,42.92,5.34,141607.0
39.28,4.85,47686,14.99,Simulação,54.26,7.99,87836.0
93.71,6.64,10936,36.21,Simulação,95.29,8.37,174021.0
14.61,7.55,46532,4.52,Aventura,66.22,6.79,-3465.0
34.76,7.11,11552,73.82,Simulação,43.47,6.66,32163.0
12.23,5.23,5026,14.92,Ação,20.19,7.19,145171.0
92.52,4.49,32774,73.58,Ação,77.24,6.24,122145.0
87.83,4.38,9724,71.76,Aventura,52.02,9.09,6600.0
26.53,6.76,3122,38.32,Aventura,,3.91,190650.0
66.32,5.45,31091,42.06,Ação,69.12,6.39,99478.0
81.88,8.64,22350,26.16,RPG,41.51,4.68,66305.0
55.95,8.87,6879,82.59,Simulação,46.35,7.8,65295.0
53.42,2.54,44490,56.11,Estratégia,,7.27,165753.0
24.94,2.23,19906,78.93,Estratégia,22.36,8.06,67447.0
10.21,6.67,21794,35.32,Aventura,40.64,7.19,70948.0
89.8,3.71,27039,73.34,Estratégia,42.73,7.53,132503.0
90.11,1.17,18337,38.04,RPG,10.31,5.68,102017.0
63.66,9.0,15661,72.03,Estratégia,86.07,7.18,42398.0
34.55,3.04,30686,12.27,Ação,85.17,5.82,177344.0
35.56,9.36,1966,53.35,Aventura,69.56,7.85,62651.0
72.85,7.46,35904,56.75,Estratégia,90.9,5.58,16787.0
89.79,7.86,36014,54.92,Simulação,34.56,6.21,32992.0
88.79,2.81,36573,37.94,Aventura,29.86,6.84,13088.0
78.18,3.11,4913,57.17,RPG,16.18,9.2,3363.0
64.54,5.69,12218,21.08,Ação,63.28,7.01,123783.0
9.33,2.55,2410,50.02,Estratégia,,9.91,13822.0
17.0,3.75,22623,46.64,Ação,82.93,8.98,68833.0
89.93,3.89,21979,27.49,RPG,,6.52,172022.0
61.02,2.44,14197,64.88,Estratégia,28.3,7.55,79192.0
1.91,2.85,44940,8.21,Aventura,82.86,7.77,189415.0
11.04,8.1,41433,15.56,Aventura,50.99,2.66,12761.0
66.67,2.5,43579,39.9,Simulação,96.02,4.46,177792.0
1.5,1.26,8115,74.05,RPG,58.1,7.62,67577.0
16.92,6.66,41912,48.34,Estratégia,20.51,7.71,109900.0
55.31,9.78,23763,70.02,Ação,86.59,7.18,162813.0
69.48,3.98,25994,43.67,Ação,89.05,5.33,197463.0
65.52,2.07,14780,65.42,Estratégia,50.09,10.0,-5876.0
23.2,6.13,22987,28.09,RPG,12.35,7.79,160867.0
71.48,9.16,5369,67.83,RPG,12.68,8.45,112299.0
24.48,8.06,46449,34.26,Ação,41.61,8.32,106644.0
33.2,6.6,11788,47.02,Estratégia,74.46,7.18,20565.0
74.88,3.84,46782,15.92,Estratégia,39.8,7.08,158972.0
65.29,5.88,43708,76.38,Ação,10.71,8.28,72088.0
85.05,1.82,45463,58.6,Estratégia,86.36,6.2,78898.0
66.08,7.11,31910,71.38,Estratégia,97.18,8.38,124375.0
57.25,7.53,12053,18.52,Aventura,,7.22,132968.0
10.27,9.69,37748,7.14,Aventura,16.59,7.82,18656.0
37.39,3.34,16613,29.02,Simulação,36.23,7.22,171788.0
27.25,1.17,5492,43.59,Simulação,81.9,5.67,155719.0
25.15,5.91,32315,66.79,RPG,,6.71,131551.0
97.3,7.36,7379,33.94,Aventura,44.56,8.74,10971.0
39.9,8.11,10905,23.56,Aventura,40.08,7.9,125135.0
89.29,2.74,15569,31.89,Aventura,20.39,8.57,103790.0
63.46,3.36,23887,58.77,Aventura,40.56,8.33,113786.0
79.66,5.61,29224,28.94,RPG,52.31,6.13,116531.0
50.75,3.98,49558,81.15,Ação,70.58,4.68,130336.0
58.1,8.74,27608,15.85,RPG,33.59,8.2,1947.0
49.74,5.26,18442,62.79,Ação,90.76,6.71,6564.0
20.32,8.2,3262,49.48,Simulação,53.63,7.97,4609.0
72.5,6.23,31269,20.57,Aventura,46.47,9.0,70616.0
28.79,7.96,28004,62.83,Ação,63.45,6.44,47052.0
3.41,3.99,17835,37.98,RPG,25.09,5.85,135487.0
64.88,8.48,4500,57.05,Ação,19.6,5.47,167779.0
18.53,3.47,47731,55.42,Estratégia,,6.93,15118.0
94.08,5.91,11520,10.62,Simulação,13.6,4.9,43248.0
95.41,2.93,13503,69.85,Simulação,43.98,7.47,117145.0
91.54,5.28,23256,56.98,Aventura,,7.54,129994.0
37.63,3.86,35078,65.02,Aventura,83.08,7.54,96403.0
2.53,3.4,16904,38.0,RPG,62.18,4.49,27437.0
92.88,9.7,34487,17.48,Ação,72.22,8.7,132354.0
43.38,2.44,26547,28.13,Estratégia,84.98,7.15,22838.0
96.67,8.09,4347,74.84,Simulação,79.58,6.3,145124.0
96.37,9.86,16372,77.81,Ação,38.8,7.91,59841.0
85.42,1.18,47723,40.77,Estratégia,61.61,7.89,48551.0
30.14,7.29,29233,25.9,Ação,33.84,5.29,83028.0
39.11,3.28,42865,60.94,Aventura,61.87,6.89,185419.0
85.24,1.36,10644,63.84,Simulação,48.34,6.08,161313.0
32.37,4.63,18841,67.86,Estratégia,43.55,6.35,17964.0
17.77,9.42,24683,4.16,Aventura,26.53,7.72,167959.0
56.11,1.11,8037,2.43,RPG,60.56,5.69,45783.0
93.65,6.29,34301,30.64,RPG,75.63,7.77,48006.0
69.89,5.51,36037,14.02,Aventura,61.41,5.61,147900.0
57.42,8.86,24585,67.0,Estratégia,16.24,8.72,162958.0
10.62,1.76,23107,44.91,Estratégia,93.18,6.01,157285.0
61.87,7.13,17132,68.66,Simulação,10.5,10.0,160128.0
98.99,7.12,14738,16.01,Aventura,,8.15,65885.0
14.86,7.02,43283,52.57,RPG,78.94,6.68,8505.0
52.3,9.48,14817,48.75,Aventura,18.7,5.57,129997.0
87.83,8.41,25398,29.28,Ação,31.3,7.72,199302.0
74.31,1.38,25314,43.63,Estratégia,41.41,8.44,182646.0
69.98,5.24,13246,49.47,Ação,91.92,7.87,31838.0
70.52,4.58,43670,73.87,RPG,98.18,6.12,59528.0
36.58,3.79,12720,6.16,Estratégia,17.85,9.04,192195.0
30.06,5.06,17786,68.5,RPG,45.73,7.39,157891.0
81.1,4.46,31685,81.23,RPG,23.44,6.01,156680.0
81.18,4.89,45592,61.06,RPG,35.06,10.0,116451.0
86.81,9.81,44999,61.51,Simulação,98.29,7.91,90961.0
91.38,1.8,32430,19.34,RPG,98.59,7.56,78403.0
51.61,9.3,37761,44.11,RPG,52.49,6.25,161096.0
50.64,5.32,27492,58.96,Ação,26.49,6.91,68794.0
80.01,6.61,41703,50.55,Ação,59.23,5.77,93569.0
65.33,8.47,48353,32.91,Ação,38.87,7.23,154504.0
70.47,4.24,42003,77.98,Estratégia,93.59,7.76,174078.0
79.76,4.87,46858,43.38,Simulação,83.63,4.14,96756.0
89.08,4.69,17412,80.39,Estratégia,37.8,5.08,134236.0
34.45,4.37,36388,47.43,Simulação,11.66,5.63,42748.0
38.17,9.33,10364,66.06,Simulação,99.81,4.76,-1661.0
10.3,8.46,40409,61.89,Aventura,71.5,5.75,39901.0
58.23,1.98,25013,55.3,Aventura,48.32,9.11,48795.0
4.56,1.97,8044,2.81,Aventura,35.97,8.63,78847.0
47.08,4.85,26288,7.93,Simulação,10.41,6.05,185795.0
54.71,1.89,12393,48.86,Simulação,23.86,7.77,81225.0
29.36,6.57,28001,75.68,Estratégia,10.54,5.28,172624.0
59.47,2.29,3020,50.45,Simulação,63.78,9.82,71185.0
4.02,5.7,13954,20.8,RPG,69.7,6.67,4552.0
4.7,1.06,17242,27.64,RPG,79.01,4.01,36025.0
82.41,3.85,22264,52.24,Simulação,26.84,10.0,100412.0
36.65,7.09,20284,50.12,RPG,18.65,6.52,57171.0
13.58,5.36,23461,79.24,Simulação,68.54,9.93,122504.0
52.69,9.8,35817,44.6,Aventura,54.99,8.3,197263.0
77.21,8.87,18944,30.47,Simulação,,7.39,198970.0
22.36,4.23,2724,44.27,Aventura,57.99,4.28,189089.0
62.65,1.41,37822,65.48,Ação,50.04,7.12,70285.0
9.45,8.61,2653,45.52,RPG,53.92,4.68,18293.0
6.11,9.2,22608,28.12,Ação,80.4,6.48,195788.0
53.59,8.39,35548,29.14,RPG,11.66,7.2,62624.0
54.51,2.15,1685,63.09,Ação,92.63,8.9,66109.0
64.09,9.98,43241,7.04,Simulação,74.27,6.08,186532.0
72.86,3.33,19396,23.95,Ação,89.67,10.0,73366.0
97.58,7.52,47707,14.07,RPG,96.35,4.72,66417.0
52.1,9.17,19968,78.35,Estratégia,30.35,5.77,77999.0
32.96,3.12,27471,8.96,RPG,,7.22,92285.0
79.7,9.17,9507,63.2,Estratégia,53.74,3.56,37560.0
27.8,3.79,41213,52.83,Simulação,58.38,5.24,182169.0
44.45,9.79,6494,53.02,RPG,14.27,7.64,49233.0
8.76,3.53,17829,63.63,Ação,92.25,8.32,186705.0
3.51,9.58,28494,34.16,Simulação,95.91,5.54,-1437.0
96.27,1.48,4268,34.18,RPG,71.66,6.19,88295.0
83.74,7.38,6911,25.08,Simulação,33.25,7.7,199103.0
69.88,5.79,13871,50.18,Estratégia,80.84,4.43,73112.0
41.47,5.3,40784,77.14,Simulação,75.77,6.69,86812.0
18.15,3.01,22865,76.67,Ação,61.71,6.62,102736.0
16.48,7.35,45057,58.72,RPG,25.33,9.54,122152.0
25.77,2.72,8821,75.22,Estratégia,,7.74,75688.0
55.36,5.98,30138,79.88,Simulação,,6.99,180822.0
71.72,3.28,15839,66.2,Aventura,21.6,8.08,66599.0
66.34,9.6,48956,34.76,Estratégia,75.15,7.28,111352.0
28.71,1.26,11058,40.88,Estratégia,29.14,5.6,169547.0
95.5,2.8,1717,77.26,Ação,91.93,8.01,196672.0
74.03,3.18,18277,56.04,Ação,90.97,8.21,-4526.0
55.86,4.73,21193,68.28,Simulação,36.43,6.49,187123.0
61.54,3.09,17886,11.07,Aventura,17.51,7.25,141022.0
42.53,5.42,46464,17.38,Estratégia,65.03,9.81,131741.0
25.52,8.85,9896,29.58,Simulação,50.36,7.26,129209.0
36.23,7.41,19719,16.93,Aventura,22.94,6.66,9610.0
76.0,6.22,19580,75.24,Simulação,57.83,5.49,-3106.0
2.42,1.8,24323,19.25,Estratégia,99.34,5.65,184020.0
12.49,7.25,43971,46.88,Simulação,16.22,7.1,127894.0
5.55,2.5,25961,8.58,Ação,33.76,6.04,169007.0
5.03,8.08,11517,14.22,Ação,58.47,7.83,8336.0
85.66,3.25,10079,21.73,RPG,81.4,6.35,137222.0
70.64,4.75,22445,81.45,Aventura,11.7,10.0,124908.0
47.93,4.15,11445,66.36,Estratégia,75.94,7.3,56392.0
10.68,8.73,38210,56.33,Aventura,22.6,4.65,99145.0
49.66,2.14,2785,76.04,Ação,84.75,7.24,114150.0
47.86,6.09,14115,79.28,Estratégia,72.29,6.42,39349.0
18.14,2.28,6387,38.47,RPG,51.09,8.01,135894.0
43.94,7.34,37887,28.25,Ação,83.94,6.97,180380.0
40.44,9.15,7984,27.24,Ação,204.26,7.57,127037.0
61.95,4.91,36353,4.54,Aventura,78.32,10.0,54201.0
63.86,5.39,43691,24.35,Simulação,36.11,6.65,163233.0
5.48,9.35,14409,30.47,Aventura,65.75,8.03,33138.0
38.08,5.69,16318,4.64,Ação,22.71,8.58,79301.0
62.94,5.39,47526,73.31,Aventura,83.87,7.42,14759.0
50.8,6.2,25840,70.49,Simulação,57.41,4.61,46714.0
85.77,7.2,28209,22.06,RPG,84.23,8.1,34943.0
66.19,1.96,49118,66.81,Estratégia,29.01,4.05,16680.0
17.13,8.39,29404,66.29,Ação,21.74,9.45,129099.0
7.98,4.92,3432,28.84,Aventura,72.0,5.06,89816.0
64.58,1.65,40830,58.24,Ação,15.26,9.83,34254.0
3.62,8.08,3938,25.18,Estratégia,31.96,7.08,159826.0
58.97,4.39,12866,7.35,Aventura,91.78,8.24,45309.0
94.05,1.9,26117,42.63,RPG,21.96,7.71,147466.0
57.95,6.7,10309,37.23,Estratégia,43.8,8.38,46482.0
39.42,8.92,7711,12.86,Simulação,95.09,4.08,155984.0
64.67,8.99,30856,41.47,Simulação,11.81,6.02,63084.0
46.35,9.62,42845,78.73,Ação,50.08,7.55,21574.0
55.0,8.81,21709,61.03,Simulação,80.78,7.04,8105.0
94.18,1.02,40386,61.64,Aventura,91.8,6.37,169279.0
39.21,4.42,36189,63.15,Simulação,76.2,7.24,104178.0
96.13,8.37,2401,62.1,RPG,89.95,6.64,131683.0
90.6,4.3,43538,3.26,Aventura,13.1,10.0,121182.0
20.38,6.41,25190,76.72,Ação,19.0,8.92,30021.0
7.86,6.46,15247,69.05,Ação,76.39,9.13,182545.0
10.97,4.29,46748,23.94,Simulação,77.79,9.6,125659.0
2.8,9.14,24373,46.52,Simulação,64.47,7.68,61503.0
10.35,5.53,48206,51.58,Ação,75.72,5.6,83784.0
68.6,5.18,33288,12.35,Aventura,87.22,6.55,12554.0
8.05,9.98,22695,22.26,Estratégia,59.09,7.47,179118.0
32.57,5.44,35305,3.53,Ação,95.25,7.18,140153.0
84.62,2.61,22139,71.79,RPG,72.48,5.02,164496.0
3.3,5.62,42051,3.66,Aventura,52.48,7.48,23154.0
81.61,8.33,16367,27.52,Estratégia,,5.32,175836.0
28.9,7.99,14452,7.99,Estratégia,77.51,9.8,126832.0
12.69,8.1,5192,65.09,Aventura,66.74,8.1,197032.0
69.96,7.37,43863,76.75,Ação,83.56,6.68,38470.0
63.25,3.29,44641,47.34,Estratégia,80.28,7.05,28758.0
87.84,8.76,24939,12.97,RPG,57.18,9.48,79738.0
73.75,9.04,8454,46.96,Aventura,95.1,4.78,134549.0
80.52,2.75,4962,64.19,Simulação,73.38,6.26,194365.0
28.91,2.17,40604,59.98,Ação,28.08,7.74,98875.0
18.56,9.78,31187,61.87,Aventura,65.66,3.96,178378.0
75.29,8.81,11566,24.31,RPG,28.17,6.76,46046.0
80.85,9.04,48512,7.63,Estratégia,60.3,6.31,46911.0
99.03,8.98,6093,13.74,Ação,81.09,10.0,127525.0
41.84,5.88,31521,79.23,Ação,83.12,6.76,466651.0
37.82,6.82,4712,51.46,Aventura,68.57,5.45,176162.0
77.84,5.91,40397,60.75,Aventura,80.49,5.67,78290.0
34.73,1.46,8990,74.64,RPG,52.5,3.03,101361.0
93.12,7.71,36756,70.88,Simulação,59.56,9.42,68446.0
85.96,5.55,29116,19.37,Aventura,89.16,7.12,129060.0
43.46,6.83,24076,6.35,Aventura,54.38,6.71,137007.0
75.31,5.52,22200,76.76,Aventura,41.59,8.33,135749.0
75.68,5.43,11511,81.35,RPG,81.72,7.76,80725.0
11.21,2.55,26182,47.71,Estratégia,14.55,6.98,165646.0
90.33,3.51,49070,73.78,Simulação,96.24,5.5,31379.0
51.0,2.43,46435,20.46,RPG,40.61,6.17,53338.0
82.79,2.76,17562,10.66,Aventura,66.66,7.14,76315.0
32.68,9.76,44283,42.23,Estratégia,71.69,7.94,80879.0
89.63,2.38,43676,67.51,Aventura,22.34,5.02,117469.0
39.52,3.42,39940,54.8,RPG,84.05,6.83,100398.0
2.07,6.32,36393,53.39,Ação,61.49,8.85,118578.0
90.61,6.49,29733,3.06,Aventura,39.52,5.15,161751.0
10.03,2.39,20164,27.42,Estratégia,86.55,8.05,117005.0
32.6,8.14,49346,77.93,Simulação,66.25,5.06,71318.0
95.03,8.07,26238,12.54,Ação,80.71,6.18,19787.0
95.08,3.14,38135,60.62,Aventura,99.3,4.07,23478.0
57.75,3.6,12381,63.3,Aventura,21.73,7.4,61023.0
63.53,9.44,5342,61.15,Estratégia,77.46,5.84,163823.0
45.38,8.43,5757,81.97,Ação,78.19,4.04,-3787.0
30.02,7.28,49733,34.87,Ação,88.71,7.16,105679.0
33.53,1.74,42868,57.03,Ação,46.73,8.51,113277.0
67.56,4.76,49761,17.36,Aventura,88.26,7.56,197695.0
75.46,6.03,20907,34.1,Ação,67.59,7.49,112397.0
79.34,2.69,19261,41.55,Aventura,,8.11,54490.0
79.15,5.03,32257,19.08,Aventura,12.85,5.91,198205.0
10.03,6.41,37728,75.27,Ação,53.33,7.12,123556.0
49.93,3.95,35906,59.8,RPG,80.72,10.0,20938.0
